project_number,year_range,project_group,distance,dollars_per_km_four_year,dollars_per_km_total
[170 -02] 38894,2014-2018,sewer system replacement and construction,0.910137729,2760725.02,2760725.02
[170 -04 0026] 3043,2014-2018,sewer lining,2.267829963,2314988.375,2314988.375
[170 -02] 38307,2015-2019,sewer system replacement and construction,0.67249709,26810524.93,26810524.93
[170 -02] 39560,2015-2019,sewer system replacement and construction,1.111944365,4242109.721,4242109.721
[170 -02] 38885,2015-2019,sewer system replacement and construction,2.574651463,2704187.382,2704187.382
[170 -02] 39566,2015-2019,sewer system replacement and construction,0.696215634,4306424.409,4306424.409
[170 -02] 38783,2014-2018,sewer system replacement and construction,0.776523588,5537500.813,5537500.813
[170 -02] 36606,2014-2018,sewer system replacement and construction,1.43891323,7992142.792,7992142.792
[170 -02] 40124,2016-2020,sewer system replacement and construction,0.199249792,12424334.17,12424334.17
[170 -02] 38885,2014-2018,sewer system replacement and construction,2.574651463,2704187.382,2704187.382
[170 -04] 38342,2017-2021,sewer lining,101.5084772,150440.8836,150440.8836
[170 -02] 38307,2017-2021,sewer system replacement and construction,0.67249709,37174882.05,37174882.05
[170 -02] 32926,2014-2018,sewer system replacement and construction,1.893522384,1626070.03,1626070.03
[170 -02] 39464,2015-2019,sewer system replacement and construction,0.206209412,12123597.93,12123597.93
[170 -02] 38789,2016-2020,sewer system replacement and construction,0.700476298,1399048.052,5362057.233
[170 -02] 39561,2016-2020,sewer system replacement and construction,0.689194359,2901939.016,2901939.016
[170 -02] 35683,2014-2018,sewer system replacement and construction,0.393269721,7445414.289,7445414.289
[170 -02] 38307,2018-2022,sewer system replacement and construction,0.67249709,1784394.338,37174882.05
[170 -02] 37794,2014-2018,sewer system replacement and construction,2.820066356,13563510.63,13563510.63
[170 -02] 39560,2016-2020,sewer system replacement and construction,1.111944365,4767315.854,4767315.854
[170 -02] 38406,2014-2018,sewer system replacement and construction,1.751810412,3949142.529,3949142.529
[170 -02] 38409,2014-2018,sewer system replacement and construction,0.600785663,3177156.376,3177156.376
[170 -02] 39707,2016-2020,sewer system replacement and construction,0.876751718,5132581.902,5132581.902
[170 -02] 38891,2016-2020,sewer system replacement and construction,0.81729466,5628325.04,5628325.04
[170 -02] 39567,2017-2021,sewer system replacement and construction,0.935317515,3253901.43,3253901.43
[170 -02] 39704,2016-2020,sewer system replacement and construction,0.282370382,13053465.36,13053465.36
[170 -02] 38790,2016-2020,sewer system replacement and construction,0.668088634,2993614.766,6585952.486
[170 -02] 38832,2016-2020,sewer system replacement and construction,0.608324378,2805021.567,3421468.998
[170 -02] 33467,2015-2019,sewer system replacement and construction,0.202010546,16610865.45,16610865.45
[170 -02] 40123,2016-2020,sewer system replacement and construction,0.222602362,22073292.29,22073292.29
[170 -02] 38790,2014-2018,sewer system replacement and construction,0.668088634,3465860.489,3465860.489
[170 -02] 35683,2015-2019,sewer system replacement and construction,0.393269721,6865517.114,6865517.114
[170 -02] 38406,2016-2020,sewer system replacement and construction,1.751810412,2725878.307,3139609.151
[170 -02] 40718,2018-2022,sewer system replacement and construction,1.57524172,634823.2067,2981743.018
[170 -02] 41002,2019-2023,sewer system replacement and construction,0.100913888,18389242.92,18389242.92
[170 -02] 38791,2014-2018,sewer system replacement and construction,1.018247441,2920317.676,2920317.676
[170 -02] 38893,2014-2018,sewer system replacement and construction,0.60722168,7767344.539,7767344.539
[170 -02] 39561,2019-2023,sewer system replacement and construction,0.689194359,8155504.941,8155504.941
[170 -02] 39564,2015-2019,sewer system replacement and construction,1.105175462,2642114.398,2642114.398
[170 -02] 36337,2014-2018,sewer system replacement and construction,1.290496968,0,4304574.236
[170 -02] 38794,2016-2020,sewer system replacement and construction,0.803786379,3065590.64,3407721.344
[170 -04] 40990,2017-2021,sewer lining,4.074930823,510877.1389,510877.1389
[170 -02] 38894,2016-2020,sewer system replacement and construction,0.910137729,2760725.02,2760725.02
[170 -02] 38884,2015-2019,sewer system replacement and construction,0.885909607,3692078.711,3692078.711
[170 -02] 38383,2015-2019,sewer system replacement and construction,0.483479574,1861505.736,1861505.736
[170 -02] 38415,2014-2018,sewer system replacement and construction,0.806733798,3337185.087,3337185.087
[170 -02] 39567,2018-2022,sewer system replacement and construction,0.935317515,3253901.43,3253901.43
[170 -02] 38885,2016-2020,sewer system replacement and construction,2.574651463,4272422.95,4272422.95
[170 -02] 40132,2016-2020,sewer system replacement and construction,0.507183089,9827196.742,9827196.742
[170 -02] 38782,2014-2018,sewer system replacement and construction,0.301523245,3979792.669,3979792.669
[170 -02] 40718,2019-2023,sewer system replacement and construction,1.57524172,671064.6287,2981743.018
[170 -02] 36595,2014-2018,sewer system replacement and construction,0.908532694,0,2861757.224
[170 -04 0027] 3044,2014-2018,sewer lining,0.805582501,4220548.48,4220548.48
[170 -02] 40123,2017-2021,sewer system replacement and construction,0.222602362,15829989.26,15829989.26
[170 -02] 39568,2016-2020,sewer system replacement and construction,0.916907744,4954696.947,4954696.947
[170 -02] 38893,2016-2020,sewer system replacement and construction,0.60722168,5676999.214,5676999.214
[170 -02] 36338,2015-2019,sewer system replacement and construction,0.406,2216748.768,2216748.768
[170 -02] 39569,2016-2020,sewer system replacement and construction,0.581014159,2710777.312,2710777.312
[170 -02] 38042,2014-2018,sewer system replacement and construction,0.811877625,6897591.247,6897591.247
[170 -02] 38307,2019-2023,sewer system replacement and construction,0.67249709,281645.8284,26258134.44
[170 -02] 38788,2015-2019,sewer system replacement and construction,1.209055145,3308368.536,3308368.536
[170 -02] 38798,2014-2018,sewer system replacement and construction,1.020132812,1884284.063,1884284.063
[170 -02] 38893,2015-2019,sewer system replacement and construction,0.60722168,7767344.539,7767344.539
[170 -02] 39344,2016-2020,sewer system replacement and construction,1.088849348,9369052.77,9369052.77
[170 -02] 39561,2018-2022,sewer system replacement and construction,0.689194359,9850647.951,9850647.951
[170 -02] 41927,2019-2023,sewer system replacement and construction,0.612542731,4714098.876,4714098.876
[170 -02] 38802,2015-2019,sewer system replacement and construction,0.340018147,4940912.757,4940912.757
[170 -02] 40131,2017-2021,sewer system replacement and construction,0.45852067,3871731.671,3871731.671
[170 -02] 40131,2019-2023,sewer system replacement and construction,0.45852067,3871731.671,3871731.671
[170 -02] 39567,2019-2023,sewer system replacement and construction,0.935317515,3253901.43,3253901.43
[170 -02] 38382,2015-2019,sewer system replacement and construction,0.397242651,4279500.189,4279500.189
[170 -02] 39567,2016-2020,sewer system replacement and construction,0.935317515,2683580.666,2683580.666
[170 -02] 35683,2016-2020,sewer system replacement and construction,0.393269721,0,6865517.114
[170 -02] 40123,2018-2022,sewer system replacement and construction,0.222602362,12418381.26,12418381.26
[170 -02] 32926,2015-2019,sewer system replacement and construction,1.893522384,2059653.497,2059653.497
[170 -02] 38382,2016-2020,sewer system replacement and construction,0.397242651,4279500.189,8559000.378
[170 -02] 38885,2017-2021,sewer system replacement and construction,2.574651463,1855488.818,2943014.66
[170 -02] 38890,2015-2019,sewer system replacement and construction,0.138666079,15360642.02,15360642.02
[170 -02] 38891,2015-2019,sewer system replacement and construction,0.513018566,8966537.09,8966537.09
[170 -02] 38801,2016-2020,sewer system replacement and construction,2.899081952,2759494.258,2759494.258
[170 -02] 3204,2017-2021,sewer system replacement and construction,2.287,4480643.201,4480643.201
[170 -02] 38884,2016-2020,sewer system replacement and construction,0.885909607,4628011.67,4628011.67
[170 -04] 40990,2018-2022,sewer lining,4.074930823,510877.1389,510877.1389
[170 -02] 39561,2017-2021,sewer system replacement and construction,0.689194359,2901939.016,2901939.016
[170 -02] 39569,2015-2019,sewer system replacement and construction,0.581014159,2710777.312,2710777.312
[170 -02] 39344,2015-2019,sewer system replacement and construction,0.303222753,32979055.5,32979055.5
[170 -02] 36338,2014-2018,sewer system replacement and construction,0.406,2216748.768,2216748.768
[170 -02] 38046,2014-2018,sewer system replacement and construction,0.506934182,2367171.208,2367171.208
[170 -02] 38390,2015-2019,sewer system replacement and construction,1.677417197,2563464.836,3338465.833
[170 -02] 38794,2015-2019,sewer system replacement and construction,0.803786379,2612634.47,2612634.47
[170 -02] 38832,2015-2019,sewer system replacement and construction,0.608324378,3401775.557,3401775.557
[170 -02] 39706,2016-2020,sewer system replacement and construction,1.038812848,5872087.558,5872087.558
[170 -02] 38383,2014-2018,sewer system replacement and construction,0.483479574,1861505.736,1861505.736
[170 -02] 39561,2015-2019,sewer system replacement and construction,0.689194359,2901939.016,2901939.016
[170 -02] 40718,2017-2021,sewer system replacement and construction,1.57524172,2961116.977,2961116.977
[170 -02] 40145,2016-2020,sewer system replacement and construction,0.593010276,4875318.552,4875318.552
[170 -02] 38056,2014-2018,sewer system replacement and construction,0.385482037,5188309.203,5188309.203
[170 -02] 38788,2014-2018,sewer system replacement and construction,1.209055145,2999416.54,2999416.54
[170 -02] 41000,2018-2022,sewer system replacement and construction,1.055662712,5063285.782,5063285.782
[170 -02] 39099,2016-2020,sewer system replacement and construction,0.409625688,0,8666448.673
[170 -02] 38889,2016-2020,sewer system replacement and construction,0.799201267,4172284.427,4172284.427
[170 -02 0042] 3204,2014-2018,sewer system replacement and construction,2.287,1988024.923,1988024.923
[170 -02] 38832,2014-2018,sewer system replacement and construction,0.608324378,3401775.557,3401775.557
[170 -02] 38406,2015-2019,sewer system replacement and construction,1.751810412,3596279.573,3596279.573
[170 -02] 38387,2014-2018,sewer system replacement and construction,0.915813252,4913665.521,4913665.521
[170 -02] 38890,2016-2020,sewer system replacement and construction,0.442373505,6432453.499,6432453.499
[170 -02] 38798,2015-2019,sewer system replacement and construction,1.020132812,2450661.297,2450661.297
[170 -02] 40776,2019-2023,sewer system replacement and construction,0.900354837,1405014.943,10220594.84
[170 -02] 38056,2015-2019,sewer system replacement and construction,0.385482037,0,8041879.264
[170 -02] 38791,2015-2019,sewer system replacement and construction,1.170785695,2818620.021,2818620.021
[170 -02] 38040,2014-2018,sewer system replacement and construction,1.119727179,4554680.904,4554680.904
[170 -02] 32989,2016-2020,sewer system replacement and construction,0.300262012,8279435.628,8279435.628
[170 -02] 38880,2015-2019,sewer system replacement and construction,0.862416985,2480729.203,2480729.203
[170 -02] 39563,2016-2020,sewer system replacement and construction,0.507494014,6404016.423,6404016.423
[170 -02] 38047,2015-2019,sewer system replacement and construction,0.705695236,2692380.369,2692380.369
[170 -02] 39567,2015-2019,sewer system replacement and construction,0.935317515,2683580.666,2683580.666
[170 -02] 3204,2015-2019,sewer system replacement and construction,2.287,1988024.923,1988024.923
[170 -02] 39705,2016-2020,sewer system replacement and construction,0.607242845,3642725.506,3642725.506
[170 -02] 39568,2018-2022,sewer system replacement and construction,0.916907744,5974939.176,5974939.176
[170 -02] 38881,2015-2019,sewer system replacement and construction,0.69117395,2546392.265,2546392.265
[170 -02] 38794,2014-2018,sewer system replacement and construction,0.803786379,2608319.89,2608319.89
[170 -02] 38412,2014-2018,sewer system replacement and construction,1.215686112,1239032.827,1239032.827
[170 -02] 39099,2014-2018,sewer system replacement and construction,0.409625688,3823102.52,3823102.52
[170 -02] 38802,2016-2020,sewer system replacement and construction,0.340018147,2749767.941,10155107.99
[170 -02] 3204,2019-2023,sewer system replacement and construction,2.287,2623524.268,4625626.585
[170 -04] 3044,2015-2019,sewer lining,0.805582501,4220548.48,4220548.48
[170 -02] 38890,2014-2018,sewer system replacement and construction,0.432938325,4394963.186,4394963.186
[170 -02] 40123,2019-2023,sewer system replacement and construction,0.222602362,0,12418381.26
[170 -02] 38893,2017-2021,sewer system replacement and construction,0.60722168,5327411.893,5327411.893
[170 -02] 3204,2016-2020,sewer system replacement and construction,2.287,5045474.421,5045474.421
[170 -02] 38788,2016-2020,sewer system replacement and construction,1.209055145,827092.134,3308368.536
[170 -02] 38889,2015-2019,sewer system replacement and construction,0.799201267,2831256.773,2831256.773
[170 -02] 38883,2014-2018,sewer system replacement and construction,0.512506526,3468482.663,3468482.663
[170 -02] 40775,2017-2021,sewer system replacement and construction,1.58385359,3684519.224,3684519.224
[170 -02] 39680,2016-2020,sewer system replacement and construction,0.509866454,4903244.723,4903244.723
[170 -02] 40776,2017-2021,sewer system replacement and construction,0.900354837,10129190.88,10129190.88
[170 -02] 39681,2016-2020,sewer system replacement and construction,0.297496048,3228005.906,3228005.906
[170 -02] 39568,2019-2023,sewer system replacement and construction,0.916907744,5974939.176,5974939.176
[170 -02] 41000,2019-2023,sewer system replacement and construction,1.055662712,4185418.268,4185418.268
[170 -02] 38382,2014-2018,sewer system replacement and construction,0.397242651,4279500.189,4279500.189
[170 -02] 38791,2016-2020,sewer system replacement and construction,1.170785695,2818620.021,2818620.021
[170 -02] 38881,2016-2020,sewer system replacement and construction,0.69117395,1317386.166,4830414.977
[170 -02] 39559,2016-2020,sewer system replacement and construction,0.200131064,13880903.57,13880903.57
[170 -02] 38798,2016-2020,sewer system replacement and construction,1.020132812,2450671.099,2450671.099
[170 -02] 38789,2015-2019,sewer system replacement and construction,0.700476298,4996600.185,4996600.185
[170 -04] 38342,2018-2022,sewer lining,101.5084772,29554.18191,163465.7662
[170 -02] 38880,2016-2020,sewer system replacement and construction,0.862416985,7816220.132,7816220.132
[170 -02] 38044,2014-2018,sewer system replacement and construction,0.81199073,4926164.613,4926164.613
[170 -02] 41002,2018-2022,sewer system replacement and construction,0.100913888,17606734.17,17606734.17
[170 -02] 38790,2015-2019,sewer system replacement and construction,0.668088634,6585952.486,6585952.486
[170 -04] 37896,2014-2018,sewer lining,81.87274789,859500.1244,860237.4027
[170 -02] 40775,2019-2023,sewer system replacement and construction,1.58385359,1025751.376,2836416.843
[170 -02] 38883,2015-2019,sewer system replacement and construction,0.874134481,1018149.975,1018149.975
[170 -02] 39499,2016-2020,sewer system replacement and construction,0.903402461,2681706.221,2681706.221
[170 -02] 40125,2016-2020,sewer system replacement and construction,0.412122441,10508527.49,10508527.49
[170 -02] 39562,2015-2019,sewer system replacement and construction,0.601452422,5544910.749,5544910.749
[170 -02] 38307,2016-2020,sewer system replacement and construction,0.67249709,26810524.93,26810524.93
[170 -02] 39099,2015-2019,sewer system replacement and construction,0.409625688,8544386.015,8544386.015
[170 -02] 38884,2014-2018,sewer system replacement and construction,0.885909607,3692078.711,3692078.711
[170 -02] 38802,2014-2018,sewer system replacement and construction,1.016367036,3285767.721,3285767.721
[170 -02] 40776,2018-2022,sewer system replacement and construction,0.900354837,888538.5707,10129190.88
[170 -02] 40131,2018-2022,sewer system replacement and construction,0.45852067,3871731.671,3871731.671
[170 -02] 38413,2014-2018,sewer system replacement and construction,1.193695193,1730651.185,1730651.185
[170 -02] 39464,2016-2020,sewer system replacement and construction,0.470402452,637751.7777,5952349.925
[170 -02] 38891,2014-2018,sewer system replacement and construction,0.513018566,7614085.062,7614085.062
[170 -02] 38786,2014-2018,sewer system replacement and construction,0.509491499,4345933.16,4345933.16
[170 -02] 36364,2014-2018,sewer system replacement and construction,0.206467115,6296402.214,6296402.214
[170 -02] 39563,2015-2019,sewer system replacement and construction,0.407690222,7971738.895,7971738.895
[170 -02] 32926,2016-2020,sewer system replacement and construction,1.893522384,0,2059653.497
[170 -02] 38412,2015-2019,sewer system replacement and construction,1.215686112,2385484.19,2385484.19
[170 -02] 39568,2017-2021,sewer system replacement and construction,0.916907744,5974939.176,5974939.176
[170 -02] 38047,2014-2018,sewer system replacement and construction,0.705695236,1983859.219,1983859.219
[170 -02] 39564,2016-2020,sewer system replacement and construction,1.105175462,2642114.398,2642114.398
[170 -02] 38894,2015-2019,sewer system replacement and construction,0.910137729,2760725.02,2760725.02
[170 -02] 38880,2014-2018,sewer system replacement and construction,0.694441017,3080784.325,3080784.325
[170 -02] 39568,2015-2019,sewer system replacement and construction,0.916907744,4954696.947,4954696.947
[170 -02] 40775,2018-2022,sewer system replacement and construction,1.58385359,2836416.843,2836416.843
[170 -02] 38883,2016-2020,sewer system replacement and construction,0.874134481,880596.7694,3193178.007
[170 -02] 33467,2016-2020,sewer system replacement and construction,0.578602272,5799441.451,5799441.451
[170 -02] 38889,2014-2018,sewer system replacement and construction,0.799201267,2831256.773,2831256.773
[170 -02] 39562,2016-2020,sewer system replacement and construction,0.601452422,5544910.749,5544910.749
[170 -02] 37933,2014-2018,sewer system replacement and construction,1.386339717,6759173.012,6759173.012
[170 -02] 38390,2014-2018,sewer system replacement and construction,1.380269209,2390837.946,2390837.946
[170 -02] 38113,2015-2019,sewer system replacement and construction,1.218866789,0,1476781.562
[170 -02] 38881,2014-2018,sewer system replacement and construction,0.577280187,3041983.84,3041983.84
[170 -02] 3204,2018-2022,sewer system replacement and construction,2.287,4625626.585,4625626.585
[170 -02] 38789,2014-2018,sewer system replacement and construction,0.700476298,3897923.467,3897923.467
[170 -04] 3043,2015-2019,sewer lining,2.267829963,2314988.375,2314988.375
