,all_locations,Lat_Long
1,S Wallace St And W 58th St,
15,S Brandon Ave And E 130th St,
70,S Clark St And W 21st St,
255,W Peterson Ave And N North Shore Channel,
350,W Eddy St And N Lamon Ave,
377,W 60th St And W 62nd St,
485,W Eddy St And W Cornelia Ave,
626,S Scottsdale Ave And W 81st St,
774,N Claremont Ave And N Division St,
977,N Loomis St And W Arbour Pl,
993,S Lytle St And W Harrison St,
1137,N Lynch Ave And N Laramie Ave,
1175,3900 N Orleans St,
1202,W Ogden Ave And S Kenton Ave,
1250,4000 N Orleans St,
1306,N Winchester Ave And N Olcott Ave,
1361,S Wabash Ave And E 111th St,
1450,N Wabash Ave And W West End Ave ,
1471,N California Ave And W Eisenhower Expy,
1598,S Princeton Ave And W Hollywood Ave,
1622,S Manistee Ave And E 126th St,
1937,S May St And W 34th Pl,
1961,W 60th St And S Neenah Ave,
1989,N Nagel And W Gregory St,
2031,S Harper Ave And E 58th St,
2079,N Nagel And N Northwest Hwy,
2107,S Michigan Ave And S 200 ,
2127,W Thorndale Ave And N Keystone Ave,
2144,W Ardmore Ave And N Lake Shore Dr,
2193,W Germania Pl And N La Salle Dr,
2199,S Wells St And W 36th St,
2238,W Balmoral Ave And N North Shore Channel,
2245,E 130th St And S Brandon Ave,
2311,W Carmen Ave And N Paulina St,
2347,W Polk St And S S Branch Chicago River,
2432,N Octavia Ave And W Estes Ave,
2473,W Eddy St And N Leclaire Ave,
2566,S Ingleside Ave And E 64th St,
2571,W Eddy St And W Newport Ave,
2882,S South Chicago Ave And S Drexel Ave,
2922,2144 S Bross Av,
2933,3200 W Logan Blvd,
2976,S Hamilton Ave And W Gladys Ave,
3082,N Western Ave And W Van Buren St,
3138,3714 N Orleans St,
3158,W 83rd St And S Martin St Luther King Dr,
3211,3914 N Orleans St,
3392,N Wabash Ave And W Fulton St,
3459,N Damen Ave And W Monroe St,
3551,S Artesian Ave And W Van Buren St,
3558,S Manistee Ave And S Escanaba Ave,
3674,W Polk St And S Morgan St,
3714,W 62nd St And S Cicero Ave,
3726,W 60th St And S Hale Ave,
3752,W Hirsch St And N Kedvale Ave,
3801,S Yates Ave And E 102nd St,
3843,E 95th St And S Calhoun Ave,
3862,S Desplaines St And W Kinzie St,
3867,N Nagel And W Catalpa Ave,
3901,S Clinton St And W Kinzie St,
3948,N Nagel And N Avondale Ave,
3961,N Central Ave And N Hennepin,
3980,W Lithuanian Plaza Ct And S Oakley Ave,
4002,S Wallace St And W 57th St,
4004,W Elm St And N Sedgwick St,
4029,W Gunnison St And N Leamington Ave,
4046,W Wilson Ave And N North Branch Chicago River,
4072,W Edmunds St And N Milwaukee Ave,
4091,1800 W 111th St,
